Time (days), Dead percentage 
0, 12.62327416173568
2, 8.875739644970409
4, 8.481262327416147
5, 8.67850098619327
7, 10.453648915187372
8, 10.650887573964468
9, 10.848126232741606
10, 17.948717948717928
11, 26.824457593688336
12, 42.01183431952661
13, 65.87771203155818
14, 79.28994082840235
15, 87.17948717948717
16, 89.15187376725837
17, 90.72978303747533
0, 12.820512820512803
2, 9.072978303747504
4, 7.297830374753445
5, 8.086785009861913
7, 11.045364891518702
8, 11.045364891518702
9, 11.24260355029584
10, 14.398422090729767
11, 19.52662721893489
12, 25.246548323471373
13, 32.93885601577908
14, 40.236686390532526
15, 42.800788954635095
16, 39.84220907297828
17, 42.60355029585797

