Time (days), Density (1e6/ml)
0, 0.2240071171139295
2, 0.5529512265395544
4, 1.43389626604257
5, 1.970368947546667
7, 2.3233198371016623
8, 2.7477788505119634
9, 2.940257692093836
10, 3.3407301444484316
11, 2.9972148226029014
12, 3.3176534417075674
13, 2.1981502917443825
14, 0.8226130119848554
15, 0.5030775115038093
16, 0.4795290303774724
17, 0.24802063693451792
0, 0.23200713059331068
2, 0.6489513882921445
4, 1.5538762491596434
5, 1.970368947546667
7, 2.371313178286736
8, 2.691798975229949
9, 2.924257665135071
10, 3.116729767025723
11, 2.957201275823547
12, 3.637653980882865
13, 3.102138335532157
14, 2.8386231484804516
15, 3.1990753143644715
16, 3.575561205663362
17, 3.480039561987467
